Timestamp,Eye_R,Eye_G,Eye_B,Eye_Hex,Lips_R,Lips_G,Lips_B,Lips_Hex,Cheek_R,Cheek_G,Cheek_B,Cheek_Hex,Hair_R,Hair_G,Hair_B,Hair_Hex
2025-04-05 14:32:50,39,38,40,#272628,173,110,100,#AD6E64,194,126,107,#C27E6B,66,49,42,#42312A
2025-04-05 14:32:50,40,39,44,#28272C,169,125,115,#A97D73,201,133,112,#C98570,70,53,46,#46352E
2025-04-05 14:32:50,41,38,43,#29262B,153,109,98,#996D62,198,132,108,#C6846C,68,52,46,#44342E
2025-04-05 14:32:51,41,36,42,#29242A,141,98,93,#8D625D,193,128,107,#C1806B,71,53,45,#47352D
2025-04-05 14:32:51,32,43,45,#202B2D,102,55,55,#663737,196,130,105,#C48269,67,52,47,#43342F
2025-04-05 14:32:51,43,24,28,#2B181C,123,67,65,#7B4341,203,135,112,#CB8770,72,54,48,#483630
2025-04-05 14:32:51,47,44,44,#2F2C2C,132,73,72,#844948,211,142,116,#D38E74,78,58,49,#4E3A31
2025-04-05 14:32:51,50,46,44,#322E2C,150,87,83,#965753,208,139,114,#D08B72,77,57,47,#4D392F
2025-04-05 14:32:51,41,40,43,#29282B,157,95,92,#9D5F5C,210,139,114,#D28B72,78,58,48,#4E3A30
2025-04-05 14:32:51,42,44,47,#2A2C2F,154,90,85,#9A5A55,211,142,118,#D38E76,76,58,43,#4C3A2B
2025-04-05 14:32:51,49,42,45,#312A2D,161,90,86,#A15A56,213,143,117,#D58F75,78,64,50,#4E4032
2025-04-05 14:32:51,53,49,51,#353133,150,85,84,#965554,211,141,116,#D38D74,86,65,46,#56412E
2025-04-05 14:32:51,49,46,46,#312E2E,163,90,85,#A35A55,203,136,116,#CB8874,86,68,52,#564434
2025-04-05 14:32:51,46,42,43,#2E2A2B,157,87,82,#9D5752,183,119,101,#B77765,83,67,49,#534331
2025-04-05 14:32:51,42,45,45,#2A2D2D,153,84,77,#99544D,182,119,102,#B67766,82,65,48,#524130
2025-04-05 14:32:51,48,45,46,#302D2E,159,85,83,#9F5553,187,123,105,#BB7B69,87,67,54,#574336
2025-04-05 14:32:51,47,49,46,#2F312E,165,88,83,#A55853,193,129,108,#C1816C,84,66,51,#544233
2025-04-05 14:32:51,47,44,44,#2F2C2C,158,84,86,#9E5456,199,133,114,#C78572,82,65,50,#524132
2025-04-05 14:32:51,41,43,43,#292B2B,153,83,76,#99534C,206,138,118,#CE8A76,90,67,56,#5A4338
2025-04-05 14:32:51,45,40,43,#2D282B,157,90,90,#9D5A5A,210,136,114,#D28872,80,62,51,#503E33
2025-04-05 14:32:51,46,38,42,#2E262A,170,103,99,#AA6763,213,142,118,#D58E76,75,61,48,#4B3D30
2025-04-05 14:32:51,39,36,40,#272428,107,58,54,#6B3A36,219,147,120,#DB9378,80,58,50,#503A32
2025-04-05 14:32:52,43,37,37,#2B2525,110,60,59,#6E3C3B,223,151,126,#DF977E,73,52,41,#493429
2025-04-05 14:32:52,40,32,33,#282021,131,80,77,#83504D,227,158,125,#E39E7D,66,50,38,#423226
2025-04-05 14:32:52,35,32,28,#23201C,139,79,75,#8B4F4B,228,158,129,#E49E81,68,49,42,#44312A
2025-04-05 14:32:52,33,32,32,#212020,134,78,70,#864E46,229,158,126,#E59E7E,72,51,42,#48332A
2025-04-05 14:32:52,38,32,30,#26201E,118,66,61,#76423D,228,155,124,#E49B7C,67,52,43,#43342B
2025-04-05 14:32:52,37,31,31,#251F1F,125,76,77,#7D4C4D,226,156,124,#E29C7C,74,51,40,#4A3328
2025-04-05 14:32:52,39,32,32,#272020,167,122,111,#A77A6F,221,148,120,#DD9478,72,50,42,#48322A
2025-04-05 14:32:52,37,34,32,#252220,187,149,141,#BB958D,209,138,114,#D18A72,69,55,40,#453728
2025-04-05 14:32:52,38,36,34,#262422,109,82,77,#6D524D,210,140,116,#D28C74,81,58,47,#513A2F
